[ 00:34:53.712 -->  00:34:56.513] OI SPEAKER_01
[ 00:34:56.918 -->  00:35:00.867] OJ SPEAKER_01
[ 00:35:01.440 -->  00:35:05.541] OK SPEAKER_01
[ 00:35:06.047 -->  00:35:11.245] OL SPEAKER_01
[ 00:35:11.700 -->  00:35:14.738] OM SPEAKER_01
[ 00:35:15.430 -->  00:35:17.202] ON SPEAKER_01
[ 00:35:17.809 -->  00:35:19.581] OO SPEAKER_01
[ 00:35:19.885 -->  00:35:28.187] OP SPEAKER_01
[ 00:35:29.250 -->  00:35:33.149] OQ SPEAKER_01
[ 00:35:33.857 -->  00:35:38.228] OR SPEAKER_01
[ 00:35:39.038 -->  00:35:40.304] OS SPEAKER_01
[ 00:35:40.675 -->  00:35:42.008] OT SPEAKER_01
[ 00:35:42.852 -->  00:35:51.239] OU SPEAKER_01
[ 00:35:51.509 -->  00:35:54.917] OV SPEAKER_01
[ 00:35:55.440 -->  00:35:58.394] OW SPEAKER_01
[ 00:35:58.832 -->  00:36:00.047] OX SPEAKER_01
[ 00:36:00.469 -->  00:36:05.481] OY SPEAKER_01
[ 00:36:06.308 -->  00:36:08.282] OZ SPEAKER_01
[ 00:36:08.755 -->  00:36:10.139] PA SPEAKER_01
[ 00:36:10.729 -->  00:36:14.222] PB SPEAKER_01
[ 00:36:14.560 -->  00:36:15.657] PC SPEAKER_01
[ 00:36:15.927 -->  00:36:26.035] PD SPEAKER_01
[ 00:36:26.524 -->  00:36:29.410] PE SPEAKER_01
[ 00:36:30.186 -->  00:36:32.835] PF SPEAKER_01
[ 00:36:32.987 -->  00:36:35.417] PG SPEAKER_01
[ 00:36:35.586 -->  00:36:36.869] PH SPEAKER_01
[ 00:36:36.869 -->  00:36:36.953] PI SPEAKER_02
[ 00:36:37.257 -->  00:36:38.657] PJ SPEAKER_02
[ 00:36:38.860 -->  00:36:39.602] PK SPEAKER_02
[ 00:36:39.974 -->  00:36:40.024] PL SPEAKER_02
[ 00:36:40.311 -->  00:36:48.209] PM SPEAKER_02
